Threads\Procs	1	2	3	4	5	6	7	8	
1   2.453   4.019   2.502   3.072   2.914   2.599   2.311   2.378
2   1.980   2.161   2.817   2.492   2.666   2.298   1.704   2.013
3   1.413   1.148   1.347   1.548   1.343   1.223   1.414   1.232
4   1.188   1.114   1.189   1.293   1.147   1.375   1.189   1.029
5	1.110   1.023   1.111   1.195   1.089   1.170   1.067   1.130
6	1.075   1.580   0.986   0.955   1.178   1.153   1.034   1.014
7	1.030   1.889   0.898   3.298   1.375   1.208   1.106   1.243
8	1.196   2.034   1.169   2.145   1.536   1.329   1.939   1.450
