Threads\Procs	1	2	3	4	5	6	7	8	
1	2.995   1.894   2.064   1.990   2.600   2.299   1.720   1.855
2	1.729   1.691   1.412   2.199   1.505   1.683   2.027   2.049
3	0.975   0.995   1.133   0.827   1.229   1.110   1.062   1.021
4	0.739   0.783   0.875   1.058   1.958   1.081   0.938   0.794
5	0.804   0.866   0.901   0.926   1.746   0.884   0.858   0.845
6	0.773   0.664   0.853   1.262   1.063   1.160   0.805   0.681
7	1.215   0.763   1.693   1.739   2.929   1.391   0.901   0.681
8	1.313   1.048   1.694   2.221   3.985   1.928   0.972   1.023
